TIME,CH1
0.39168,2.16
0.392,1.92
0.39232,2
0.39264,1.96
0.39296,2
0.39328,1.96
0.3936,2.08
0.39392,1.88
0.39424,2.08
0.39456,2.04
0.39488,2.04
0.3952,2.08
0.39552,1.92
0.39584,2
0.39616,1.92
0.39648,2.08
0.3968,1.96
0.39712,1.88
0.39744,2.08
0.39776,2.04
0.39808,2
0.3984,2.04
0.39872,2
0.39904,1.8
0.39936,2.08
0.39968,1.96
0.4,2
0.40032,1.92
0.40064,1.88
0.40096,2.04
0.40128,1.88
0.4016,1.96
0.40192,2.08
0.40224,1.96
0.40256,1.96
0.40288,2
0.4032,1.92
0.40352,1.84
0.40384,1.92
0.40416,2
0.40448,1.96
0.4048,1.84
0.40512,1.96
0.40544,1.72
0.40576,1.88
0.40608,1.8
0.4064,1.8
0.40672,1.84
0.40704,1.88
0.40736,1.84
0.40768,1.84
0.408,1.88
0.40832,2
0.40864,1.76
0.40896,1.88
0.40928,1.76
0.4096,1.92
0.40992,1.84
0.41024,1.96
0.41056,1.72
0.41088,1.8
0.4112,1.88
0.41152,1.8
0.41184,1.92
0.41216,1.96
0.41248,1.92
0.4128,1.8
0.41312,1.84
0.41344,1.84
0.41376,1.8
0.41408,1.72
0.4144,1.88
0.41472,1.72
0.41504,1.84
0.41536,1.88
0.41568,1.72
0.416,1.72
0.41632,1.84
0.41664,1.76
0.41696,1.68
0.41728,1.8
0.4176,1.84
0.41792,1.72
0.41824,1.8
0.41856,1.8
0.41888,1.72
0.4192,1.76
0.41952,1.88
0.41984,1.64
0.4202,1.76
0.4205,1.72
0.4208,1.72
0.4211,1.8
0.4214,1.56
0.4218,1.92
0.4221,1.72
0.4224,1.6
0.4227,1.64
0.423,1.52
0.4234,1.72
0.4237,1.72
0.424,1.56
0.4243,1.8
0.4246,1.8
0.425,1.6
0.4253,1.68
0.4256,1.76
0.4259,1.6
0.4262,1.64
0.4266,1.72
0.4269,1.72
0.4272,1.68
0.4275,1.68
0.4278,1.64
0.4282,1.72
0.4285,1.64
0.4288,1.84
0.4291,1.68
0.4294,1.56
0.4298,1.52
0.4301,1.64
0.4304,1.56
0.4307,1.48
0.431,1.64
0.4314,1.56
0.4317,1.48
0.432,1.6
0.4323,1.6
0.4326,1.56
0.433,1.56
0.4333,1.64
0.4336,1.48
0.4339,1.56
0.4342,1.48
0.4346,1.48
0.4349,1.4
0.4352,1.64
0.4355,1.56
0.4358,1.6
0.4362,1.56
0.4365,1.56
0.4368,1.6
0.4371,1.56
0.4374,1.52
0.4378,1.6
0.4381,1.56
0.4384,1.44
0.4387,1.48
0.439,1.6
0.4394,1.48
0.4397,1.44
0.44,1.56
0.4403,1.44
0.4406,1.48
0.441,1.4
0.4413,1.6
0.4416,1.48
0.4419,1.48
0.4422,1.48
0.4426,1.56
0.4429,1.48
0.4432,1.52
0.4435,1.52
0.4438,1.6
0.4442,1.48
0.4445,1.32
0.4448,1.6
0.4451,1.4
0.4454,1.48
0.4458,1.56
0.4461,1.44
0.4464,1.44
0.4467,1.48
0.447,1.64
0.4474,1.56
0.4477,1.52
0.448,1.44
0.4483,1.48
0.4486,1.56
0.449,1.44
0.4493,1.52
0.4496,1.56
0.4499,1.6
0.4502,1.48
0.4506,1.32
0.4509,1.48
0.4512,1.44
0.4515,1.4
0.4518,1.48
0.4522,1.4
0.4525,1.48
0.4528,1.48
0.4531,1.4
0.4534,1.4
0.4538,1.48
0.4541,1.48
0.4544,1.32
0.4547,1.32
0.455,1.44
0.4554,1.52
0.4557,1.44
0.456,1.48
0.4563,1.44
0.4566,1.4
0.457,1.24
0.4573,1.28
0.4576,1.32
0.4579,1.4
0.4582,1.52
0.4586,1.4
0.4589,1.44
0.4592,1.36
0.4595,1.4
0.4598,1.44
0.4602,1.36
0.4605,1.44
0.4608,1.36
0.4611,1.4
0.4614,1.48
0.4618,1.44
0.4621,1.4
0.4624,1.32
0.4627,1.32
0.463,1.32
0.4634,1.28
0.4637,1.4
0.464,1.4
0.4643,1.4
0.4646,1.52
0.465,1.44
0.4653,1.24
0.4656,1.48
0.4659,1.4
0.4662,1.36
0.4666,1.56
0.4669,1.4
0.4672,1.36
0.4675,1.4
0.4678,1.36
0.4682,1.36
0.4685,1.28
0.4688,1.44
0.4691,1.24
0.4694,1.44
0.4698,1.52
0.4701,1.44
0.4704,1.32
0.4707,1.4
0.471,1.32
0.4714,1.24
0.4717,1.44
0.472,1.24
0.4723,1.32
0.4726,1.48
0.473,1.44
0.4733,1.32
0.4736,1.32
0.4739,1.4
0.4742,1.24
0.4746,1.24
0.4749,1.44
0.4752,1.52
0.4755,1.24
0.4758,1.24
0.4762,1.32
0.4765,1.24
0.4768,1.32
0.4771,1.24
0.4774,1.28
0.4778,1.32
0.4781,1.32
0.4784,1.32
0.4787,1.4
0.479,1.24
0.4794,1.24
0.4797,1.16
0.48,1.28
0.4803,1.44
0.4806,1.28
0.481,1.24
0.4813,1.24
0.4816,1.4
0.4819,1.4
0.4822,1.24
0.4826,1.2
0.4829,1.28
0.4832,1.4
0.4835,1.32
0.4838,1.28
0.4842,1.16
0.4845,1.24
0.4848,1.24
0.4851,1.04
0.4854,1.32
0.4858,1.28
0.4861,1.32
0.4864,1.32
0.4867,1.4
0.487,1.32
0.4874,1.32
0.4877,1.28
0.488,1.32
0.4883,1.24
0.4886,1.32
0.489,1.28
0.4893,1.32
0.4896,1.2
0.4899,1.24
0.4902,1.32
0.4906,1.44
0.4909,1.28
0.4912,1.12
0.4915,1.24
0.4918,1.2
0.4922,1.24
0.4925,1.24
0.4928,1.16
0.4931,1.24
0.4934,0.92
0.4938,0.64
0.4941,0.56
0.4944,0.52
0.4947,0.52
0.495,0.52
0.4954,0.52
0.4957,0.52
0.496,0.56
0.4963,0.52
0.4966,0.48
0.497,0.52
0.4973,0.52
0.4976,0.52
0.4979,0.48
0.4982,0.48
0.4986,0.48
0.4989,0.52
0.4992,0.52
0.4995,0.52
